Job Category,Candidate,Actual Category,Fit Score
HR,80162314.pdf,HR,0.581
CHEF,14663897.pdf,CHEF,0.58
BUSINESS-DEVELOPMENT,12377803.pdf,BUSINESS-DEVELOPMENT,0.58
CHEF,18825446.pdf,CHEF,0.58
HR,15375009.pdf,HR,0.58
ACCOUNTANT,24294778.pdf,ACCOUNTANT,0.579
DESIGNER,13998435.pdf,DESIGNER,0.579
ACCOUNTANT,20624984.pdf,ACCOUNTANT,0.578
CONSULTANT,13313917.pdf,CONSULTANT,0.578
HR,28175164.pdf,HR,0.577
HR,23408537.pdf,HR,0.576
PUBLIC-RELATIONS,25413261.pdf,PUBLIC-RELATIONS,0.576
ACCOUNTANT,15289348.pdf,ACCOUNTANT,0.576
HR,14225422.pdf,HR,0.576
CHEF,13411858.pdf,CHEF,0.576
ACCOUNTANT,27573855.pdf,ACCOUNTANT,0.576
HR,29297973.pdf,HR,0.576
CHEF,23841877.pdf,CHEF,0.575
HR,23914451.pdf,HR,0.574
CHEF,29772450.pdf,CHEF,0.574
BUSINESS-DEVELOPMENT,20748929.pdf,BUSINESS-DEVELOPMENT,0.574
FITNESS,29792535.pdf,FITNESS,0.574
BUSINESS-DEVELOPMENT,16694152.pdf,BUSINESS-DEVELOPMENT,0.573
HR,12786012.pdf,HR,0.572
PUBLIC-RELATIONS,27257013.pdf,PUBLIC-RELATIONS,0.572
PUBLIC-RELATIONS,10070224.pdf,PUBLIC-RELATIONS,0.572
ACCOUNTANT,20345168.pdf,ACCOUNTANT,0.571
CHEF,26718039.pdf,CHEF,0.571
CHEF,20817322.pdf,CHEF,0.57
HR,15041689.pdf,HR,0.57
ACCOUNTANT,13294301.pdf,ACCOUNTANT,0.57
ACCOUNTANT,22465498.pdf,ACCOUNTANT,0.57
CONSULTANT,95085510.pdf,FITNESS,0.57
HR,24184357.pdf,HR,0.57
ACCOUNTANT,14496667.pdf,ACCOUNTANT,0.569
HR,38059130.pdf,ADVOCATE,0.569
PUBLIC-RELATIONS,31292364.pdf,PUBLIC-RELATIONS,0.569
HR,18084150.pdf,HR,0.568
ACCOUNTANT,18365791.pdf,ACCOUNTANT,0.567
FITNESS,24994145.pdf,FITNESS,0.567
ACCOUNTANT,63137898.pdf,ACCOUNTANT,0.567
PUBLIC-RELATIONS,91197243.pdf,PUBLIC-RELATIONS,0.567
ACCOUNTANT,21853199.pdf,ACCOUNTANT,0.566
CHEF,22349169.pdf,CHEF,0.566
HR,24508725.pdf,HR,0.565
ACCOUNTANT,21794875.pdf,ACCOUNTANT,0.565
ACCOUNTANT,37997506.pdf,ACCOUNTANT,0.565
BUSINESS-DEVELOPMENT,27850777.pdf,BUSINESS-DEVELOPMENT,0.564
CHEF,15354126.pdf,CHEF,0.564
CHEF,11121498.pdf,CHEF,0.563
ACCOUNTANT,20082776.pdf,ACCOUNTANT,0.562
ACCOUNTANT,28969385.pdf,ACCOUNTANT,0.562
HR,17150707.pdf,HR,0.562
CHEF,21611637.pdf,CHEF,0.561
ACCOUNTANT,15906625.pdf,ACCOUNTANT,0.561
HR,14256329.pdf,HR,0.561
BUSINESS-DEVELOPMENT,20427934.pdf,BUSINESS-DEVELOPMENT,0.561
CONSULTANT,24946537.pdf,ADVOCATE,0.56
CONSULTANT,31016926.pdf,CONSULTANT,0.56
CHEF,13264154.pdf,CHEF,0.56
HR,34554248.pdf,HR,0.56
FITNESS,24251588.pdf,FITNESS,0.56
CONSULTANT,15083600.pdf,CONSULTANT,0.559
DESIGNER,10748989.pdf,DESIGNER,0.558
BANKING,17189156.pdf,BANKING,0.558
CHEF,65373280.pdf,CHEF,0.558
HR,25824789.pdf,HR,0.558
CONSULTANT,26167298.pdf,CONSULTANT,0.557
CONSULTANT,37242217.pdf,INFORMATION-TECHNOLOGY,0.556
ACCOUNTANT,36024962.pdf,ACCOUNTANT,0.556
HR,24402267.pdf,HR,0.556
DESIGNER,26503829.pdf,DESIGNER,0.555
BANKING,74552449.pdf,BANKING,0.555
CONSULTANT,32433431.pdf,CONSULTANT,0.554
HR,26780935.pdf,HR,0.554
CONSULTANT,15602094.pdf,CONSULTANT,0.554
ACCOUNTANT,30304575.pdf,ACCOUNTANT,0.554
HR,11698189.pdf,HR,0.554
HR,23155093.pdf,HR,0.553
BUSINESS-DEVELOPMENT,18937778.pdf,BUSINESS-DEVELOPMENT,0.553
BUSINESS-DEVELOPMENT,39237915.pdf,BUSINESS-DEVELOPMENT,0.553
CHEF,19831366.pdf,CHEF,0.553
ACCOUNTANT,23387174.pdf,ACCOUNTANT,0.553
ACCOUNTANT,17556527.pdf,ACCOUNTANT,0.552
ACCOUNTANT,12065211.pdf,ACCOUNTANT,0.552
HR,39970711.pdf,HR,0.552
CONSULTANT,29770086.pdf,CONSULTANT,0.552
CHEF,21101152.pdf,CHEF,0.552
HR,21830565.pdf,HR,0.551
BUSINESS-DEVELOPMENT,20317319.pdf,BUSINESS-DEVELOPMENT,0.551
HR,51769822.pdf,HR,0.551
ACCOUNTANT,78403342.pdf,ACCOUNTANT,0.551
CHEF,19738730.pdf,BUSINESS-DEVELOPMENT,0.55
ACCOUNTANT,23734441.pdf,ACCOUNTANT,0.55
DESIGNER,34511655.pdf,DESIGNER,0.55
CONSULTANT,35164503.pdf,FITNESS,0.55
ACCOUNTANT,14491649.pdf,ACCOUNTANT,0.55
FITNESS,12019284.pdf,FITNESS,0.55
CHEF,91591026.pdf,CHEF,0.55
ACCOUNTANT,12442909.pdf,ACCOUNTANT,0.55
ACCOUNTANT,20393721.pdf,ACCOUNTANT,0.549
DESIGNER,14413257.pdf,APPAREL,0.549
CHEF,29072179.pdf,CHEF,0.549
HR,17412079.pdf,HR,0.549
CHEF,20691949.pdf,CHEF,0.549
CHEF,30311202.pdf,CHEF,0.549
BANKING,65864767.pdf,BANKING,0.549
CONSULTANT,51724595.pdf,CONSULTANT,0.548
CHEF,29211359.pdf,CHEF,0.548
ACCOUNTANT,25497147.pdf,FINANCE,0.548
CONSULTANT,12897903.pdf,CONSULTANT,0.548
BANKING,20705888.pdf,FINANCE,0.548
CHEF,92985983.pdf,CHEF,0.547
CHEF,29775391.pdf,CHEF,0.547
CHEF,13212436.pdf,CHEF,0.547
ACCOUNTANT,78257294.pdf,ACCOUNTANT,0.547
PUBLIC-RELATIONS,75329822.pdf,PUBLIC-RELATIONS,0.547
CHEF,24673903.pdf,CHEF,0.546
AVIATION,42546558.pdf,AVIATION,0.546
SALES,16280971.pdf,SALES,0.546
ACCOUNTANT,39674178.pdf,ACCOUNTANT,0.546
ACCOUNTANT,17306905.pdf,ACCOUNTANT,0.546
BANKING,15856762.pdf,BANKING,0.545
FITNESS,32636041.pdf,FITNESS,0.545
CHEF,10276858.pdf,CHEF,0.545
ACCOUNTANT,59403481.pdf,ACCOUNTANT,0.545
CONSULTANT,31201660.pdf,CONSULTANT,0.545
ACCOUNTANT,24703983.pdf,AUTOMOBILE,0.544
PUBLIC-RELATIONS,21297828.pdf,PUBLIC-RELATIONS,0.544
FITNESS,24444525.pdf,FITNESS,0.544
BUSINESS-DEVELOPMENT,13888506.pdf,BUSINESS-DEVELOPMENT,0.544
ACCOUNTANT,24833063.pdf,FINANCE,0.543
BUSINESS-DEVELOPMENT,15233524.pdf,BUSINESS-DEVELOPMENT,0.543
DESIGNER,34349255.pdf,DESIGNER,0.543
CHEF,68338341.pdf,CHEF,0.543
ACCOUNTANT,28298773.pdf,ACCOUNTANT,0.542
CONSULTANT,93349646.pdf,CONSULTANT,0.541
ACCOUNTANT,23139819.pdf,ACCOUNTANT,0.541
CHEF,19007667.pdf,CHEF,0.541
CONSULTANT,17597372.pdf,BUSINESS-DEVELOPMENT,0.541
ACCOUNTANT,19545827.pdf,ACCOUNTANT,0.541
ACCOUNTANT,21338490.pdf,ACCOUNTANT,0.541
ACCOUNTANT,27980446.pdf,ACCOUNTANT,0.541
ACCOUNTANT,31602598.pdf,ACCOUNTANT,0.54
BANKING,13982572.pdf,BANKING,0.54
BUSINESS-DEVELOPMENT,14861855.pdf,BUSINESS-DEVELOPMENT,0.54
BUSINESS-DEVELOPMENT,26896699.pdf,BUSINESS-DEVELOPMENT,0.54
ACCOUNTANT,23438112.pdf,ACCOUNTANT,0.54
ACCOUNTANT,22720697.pdf,FINANCE,0.539
HR,73077810.pdf,HR,0.539
BUSINESS-DEVELOPMENT,77576845.pdf,BUSINESS-DEVELOPMENT,0.539
CHEF,16248476.pdf,CHEF,0.539
CONSULTANT,29297393.pdf,CONSULTANT,0.539
DESIGNER,19164410.pdf,DESIGNER,0.539
CHEF,25953797.pdf,CHEF,0.538
CHEF,27831220.pdf,CHEF,0.538
DESIGNER,29147100.pdf,DESIGNER,0.538
CHEF,10653119.pdf,CHEF,0.538
CHEF,15261348.pdf,CHEF,0.538
BUSINESS-DEVELOPMENT,35673335.pdf,BUSINESS-DEVELOPMENT,0.538
CHEF,32605413.pdf,CHEF,0.538
BUSINESS-DEVELOPMENT,25397102.pdf,BUSINESS-DEVELOPMENT,0.538
HR,16244633.pdf,ARTS,0.537
BUSINESS-DEVELOPMENT,36805025.pdf,BUSINESS-DEVELOPMENT,0.537
PUBLIC-RELATIONS,31162167.pdf,DIGITAL-MEDIA,0.537
BUSINESS-DEVELOPMENT,16519708.pdf,BUSINESS-DEVELOPMENT,0.536
CONSULTANT,13215696.pdf,CONSULTANT,0.536
CHEF,81373857.pdf,CHEF,0.536
DESIGNER,25061645.pdf,DESIGNER,0.536
HR,11847784.pdf,HR,0.536
CHEF,35157762.pdf,CHEF,0.536
CONSULTANT,48533663.pdf,CONSULTANT,0.535
DESIGNER,13807808.pdf,APPAREL,0.535
BUSINESS-DEVELOPMENT,27213082.pdf,BUSINESS-DEVELOPMENT,0.535
ACCOUNTANT,21568833.pdf,CONSULTANT,0.535
CHEF,91072502.pdf,CHEF,0.535
CONSULTANT,14346702.pdf,CONSULTANT,0.534
CHEF,37231163.pdf,CHEF,0.534
BUSINESS-DEVELOPMENT,10704573.pdf,BUSINESS-DEVELOPMENT,0.534
CHEF,92122785.pdf,CHEF,0.534
DESIGNER,17199951.pdf,DESIGNER,0.534
CONSULTANT,20314980.pdf,CONSULTANT,0.534
CHEF,22561438.pdf,CHEF,0.533
HR,27847081.pdf,HR,0.533
ACCOUNTANT,12202337.pdf,ACCOUNTANT,0.533
HR,13343786.pdf,DIGITAL-MEDIA,0.533
PUBLIC-RELATIONS,41590605.pdf,PUBLIC-RELATIONS,0.532
CONSULTANT,34875813.pdf,CONSULTANT,0.532
DESIGNER,30965258.pdf,DESIGNER,0.532
ACCOUNTANT,24670867.pdf,FINANCE,0.532
CHEF,19268120.pdf,CHEF,0.532
CONSULTANT,98379112.pdf,BUSINESS-DEVELOPMENT,0.532
ACCOUNTANT,27409087.pdf,FINANCE,0.532
PUBLIC-RELATIONS,30642458.pdf,PUBLIC-RELATIONS,0.531
CONSULTANT,32637306.pdf,CONSULTANT,0.531
BUSINESS-DEVELOPMENT,38688388.pdf,BUSINESS-DEVELOPMENT,0.531
ACCOUNTANT,26065877.pdf,ACCOUNTANT,0.531
HR,16852973.pdf,HR,0.531
BUSINESS-DEVELOPMENT,39875803.pdf,BUSINESS-DEVELOPMENT,0.53
DESIGNER,15154822.pdf,APPAREL,0.53
BUSINESS-DEVELOPMENT,19557384.pdf,BUSINESS-DEVELOPMENT,0.53
CONSULTANT,10332998.pdf,CONSULTANT,0.53
CHEF,12420359.pdf,CHEF,0.53
CHEF,16855929.pdf,CHEF,0.529
HR,25724495.pdf,HR,0.529
ACCOUNTANT,25127518.pdf,ACCOUNTANT,0.529
HR,13879043.pdf,HR,0.529
CONSULTANT,15281412.pdf,CONSULTANT,0.529
CONSULTANT,25258040.pdf,CONSULTANT,0.529
ACCOUNTANT,29050809.pdf,ACCOUNTANT,0.528
ADVOCATE,35474904.pdf,ADVOCATE,0.527
BUSINESS-DEVELOPMENT,31273310.pdf,BUSINESS-DEVELOPMENT,0.527
BUSINESS-DEVELOPMENT,14990354.pdf,BUSINESS-DEVELOPMENT,0.527
ACCOUNTANT,62809577.pdf,ACCOUNTANT,0.527
HR,18422164.pdf,HR,0.526
ACCOUNTANT,39115899.pdf,ACCOUNTANT,0.526
HR,25676643.pdf,HR,0.526
FINANCE,12071138.pdf,FINANCE,0.526
BANKING,28895997.pdf,BANKING,0.526
ACCOUNTANT,12780508.pdf,ACCOUNTANT,0.525
ACCOUNTANT,11163645.pdf,ACCOUNTANT,0.525
BUSINESS-DEVELOPMENT,91467795.pdf,BUSINESS-DEVELOPMENT,0.525
CONSULTANT,17983957.pdf,CONSULTANT,0.525
HR,18155310.pdf,HR,0.525
HR,34740556.pdf,HR,0.524
BUSINESS-DEVELOPMENT,37521676.pdf,BUSINESS-DEVELOPMENT,0.524
HR,19867922.pdf,HR,0.524
HR,26048718.pdf,HR,0.524
DESIGNER,21283733.pdf,DESIGNER,0.523
ACCOUNTANT,53640713.pdf,ACCOUNTANT,0.523
PUBLIC-RELATIONS,25070914.pdf,PUBLIC-RELATIONS,0.523
HR,21265194.pdf,HR,0.523
CONSULTANT,20176584.pdf,CONSULTANT,0.523
HR,32896934.pdf,HR,0.523
BUSINESS-DEVELOPMENT,81310245.pdf,BUSINESS-DEVELOPMENT,0.522
CONSULTANT,10984392.pdf,CONSULTANT,0.522
HR,44476983.pdf,HR,0.522
HR,11763983.pdf,HR,0.522
ACCOUNTANT,29456173.pdf,ACCOUNTANT,0.522
HR,24611721.pdf,FINANCE,0.521
BANKING,95519832.pdf,FINANCE,0.521
APPAREL,71767359.pdf,APPAREL,0.521
BUSINESS-DEVELOPMENT,14070138.pdf,BUSINESS-DEVELOPMENT,0.52
ACCOUNTANT,23416654.pdf,ACCOUNTANT,0.52
CONSULTANT,67406885.pdf,CONSULTANT,0.52
ACCOUNTANT,50222417.pdf,ACCOUNTANT,0.52
ACCOUNTANT,19446337.pdf,ACCOUNTANT,0.52
SALES,28867567.pdf,SALES,0.52
ACCOUNTANT,38441665.pdf,FINANCE,0.52
SALES,37540732.pdf,SALES,0.52
ACCOUNTANT,28614791.pdf,ACCOUNTANT,0.519
CHEF,23568731.pdf,CHEF,0.519
BUSINESS-DEVELOPMENT,12814706.pdf,BUSINESS-DEVELOPMENT,0.519
CONSULTANT,31217840.pdf,CONSULTANT,0.518
ACCOUNTANT,26750846.pdf,FINANCE,0.518
BUSINESS-DEVELOPMENT,16846478.pdf,BUSINESS-DEVELOPMENT,0.518
ACCOUNTANT,24397882.pdf,AGRICULTURE,0.518
ACCOUNTANT,22925443.pdf,ACCOUNTANT,0.517
ACCOUNTANT,29999135.pdf,ACCOUNTANT,0.517
BUSINESS-DEVELOPMENT,34046031.pdf,BUSINESS-DEVELOPMENT,0.517
HR,57667857.pdf,HR,0.517
HR,28419173.pdf,HR,0.517
CHEF,30826569.pdf,CHEF,0.516
HR,18827609.pdf,HR,0.516
ACCOUNTANT,28939941.pdf,ACCOUNTANT,0.516
CONSULTANT,38457612.pdf,CONSULTANT,0.516
BUSINESS-DEVELOPMENT,36574147.pdf,BUSINESS-DEVELOPMENT,0.516
DESIGNER,18198627.pdf,DESIGNER,0.516
HR,30646367.pdf,HR,0.516
BUSINESS-DEVELOPMENT,27937592.pdf,BUSINESS-DEVELOPMENT,0.516
HR,17422560.pdf,HR,0.516
HR,49937469.pdf,HR,0.516
CONSULTANT,20992320.pdf,BANKING,0.515
ACCOUNTANT,10674770.pdf,ACCOUNTANT,0.515
CONSULTANT,18856440.pdf,CONSULTANT,0.515
ACCOUNTANT,25862026.pdf,ACCOUNTANT,0.514
BUSINESS-DEVELOPMENT,14871762.pdf,BUSINESS-DEVELOPMENT,0.514
BUSINESS-DEVELOPMENT,34797369.pdf,BUSINESS-DEVELOPMENT,0.514
ACCOUNTANT,27558837.pdf,ACCOUNTANT,0.514
HR,16877897.pdf,HR,0.514
HR,13520837.pdf,HR,0.514
SALES,10138632.pdf,SALES,0.513
FITNESS,15636923.pdf,HEALTHCARE,0.513
BANKING,30713796.pdf,BANKING,0.513
DESIGNER,28663949.pdf,DESIGNER,0.513
CHEF,35468363.pdf,CHEF,0.513
CHEF,33964275.pdf,CHEF,0.513
CONSULTANT,22593054.pdf,ARTS,0.513
CONSULTANT,12955994.pdf,CONSULTANT,0.513
DESIGNER,94417768.pdf,DESIGNER,0.512
HR,26202430.pdf,HR,0.512
CONSULTANT,10329506.pdf,BANKING,0.512
AGRICULTURE,24068423.pdf,AGRICULTURE,0.512
CONSULTANT,77439230.pdf,ADVOCATE,0.512
CONSULTANT,45462344.pdf,PUBLIC-RELATIONS,0.512
CONSULTANT,34327438.pdf,ADVOCATE,0.512
ACCOUNTANT,25846894.pdf,ACCOUNTANT,0.511
FITNESS,15293959.pdf,FITNESS,0.511
CONSULTANT,29647215.pdf,CONSULTANT,0.511
BUSINESS-DEVELOPMENT,18293620.pdf,BUSINESS-DEVELOPMENT,0.511
ACCOUNTANT,17407184.pdf,ACCOUNTANT,0.511
CONSULTANT,44185767.pdf,DESIGNER,0.511
CONSULTANT,36094883.pdf,APPAREL,0.51
CONSULTANT,34046031.pdf,BUSINESS-DEVELOPMENT,0.51
CONSULTANT,26942552.pdf,DESIGNER,0.51
ACCOUNTANT,20918464.pdf,FINANCE,0.51
CONSULTANT,33964275.pdf,CHEF,0.51
ACCOUNTANT,78229715.pdf,FINANCE,0.51
ACCOUNTANT,25543217.pdf,APPAREL,0.51
FITNESS,16038911.pdf,FITNESS,0.51
BANKING,29552167.pdf,BANKING,0.509
DESIGNER,26496059.pdf,DESIGNER,0.509
BUSINESS-DEVELOPMENT,11289482.pdf,BUSINESS-DEVELOPMENT,0.508
INFORMATION-TECHNOLOGY,28035460.pdf,INFORMATION-TECHNOLOGY,0.508
DESIGNER,26046064.pdf,DESIGNER,0.508
ACCOUNTANT,18635654.pdf,ACCOUNTANT,0.508
DESIGNER,14724186.pdf,DESIGNER,0.508
BUSINESS-DEVELOPMENT,18900722.pdf,DIGITAL-MEDIA,0.508
SALES,79376680.pdf,SALES,0.507
ACCOUNTANT,29821051.pdf,ACCOUNTANT,0.507
HR,53701275.pdf,PUBLIC-RELATIONS,0.507
DESIGNER,62312955.pdf,DESIGNER,0.507
DESIGNER,25422388.pdf,DESIGNER,0.507
BUSINESS-DEVELOPMENT,24647386.pdf,BUSINESS-DEVELOPMENT,0.507
ACCOUNTANT,34783330.pdf,BANKING,0.506
PUBLIC-RELATIONS,14364597.pdf,PUBLIC-RELATIONS,0.506
FITNESS,25482567.pdf,FITNESS,0.506
DESIGNER,24655918.pdf,DESIGNER,0.506
FITNESS,10568350.pdf,FITNESS,0.506
HR,27726066.pdf,CONSULTANT,0.506
BUSINESS-DEVELOPMENT,65708020.pdf,BUSINESS-DEVELOPMENT,0.505
BUSINESS-DEVELOPMENT,98379112.pdf,BUSINESS-DEVELOPMENT,0.505
BUSINESS-DEVELOPMENT,26581830.pdf,BUSINESS-DEVELOPMENT,0.505
BUSINESS-DEVELOPMENT,17421910.pdf,BUSINESS-DEVELOPMENT,0.505
CHEF,28396528.pdf,CHEF,0.505
ACCOUNTANT,82649935.pdf,ACCOUNTANT,0.505
CONSULTANT,64017585.pdf,INFORMATION-TECHNOLOGY,0.504
ACCOUNTANT,23636277.pdf,ACCOUNTANT,0.504
CHEF,23185829.pdf,CHEF,0.504
CHEF,48580330.pdf,CHEF,0.504
HR,17855844.pdf,HR,0.503
CHEF,10588874.pdf,CHEF,0.503
HR,18334783.pdf,HR,0.503
HR,19616406.pdf,HR,0.503
HR,35344611.pdf,ADVOCATE,0.502
DESIGNER,12860543.pdf,APPAREL,0.502
ACCOUNTANT,14224370.pdf,ACCOUNTANT,0.502
CHEF,61322296.pdf,CHEF,0.502
ACCOUNTANT,24103168.pdf,ACCOUNTANT,0.502
BANKING,28522529.pdf,FINANCE,0.502
CONSULTANT,18368613.pdf,SALES,0.502
ACCOUNTANT,13491889.pdf,ACCOUNTANT,0.501
PUBLIC-RELATIONS,14009087.pdf,PUBLIC-RELATIONS,0.501
CHEF,10333299.pdf,CHEF,0.5
AVIATION,32720816.pdf,AVIATION,0.5
CONSULTANT,34758680.pdf,BANKING,0.5
CONSULTANT,28951817.pdf,CONSULTANT,0.5
CONSULTANT,43378989.pdf,CONSULTANT,0.499
ACCOUNTANT,30361788.pdf,ACCOUNTANT,0.499
CONSULTANT,65062795.pdf,CONSULTANT,0.499
BANKING,19920687.pdf,BANKING,0.499
CONSULTANT,80503242.pdf,ADVOCATE,0.499
ACCOUNTANT,29574501.pdf,CONSTRUCTION,0.499
CONSULTANT,14726000.pdf,BUSINESS-DEVELOPMENT,0.499
FITNESS,20565486.pdf,FITNESS,0.498
ACCOUNTANT,13072019.pdf,ACCOUNTANT,0.498
ACCOUNTANT,24799301.pdf,ACCOUNTANT,0.498
CONSULTANT,96260484.pdf,HEALTHCARE,0.498
CHEF,30337969.pdf,CHEF,0.498
CHEF,21334981.pdf,CHEF,0.497
ACCOUNTANT,38946032.pdf,CONSTRUCTION,0.497
CONSULTANT,56792999.pdf,CONSULTANT,0.497
FINANCE,19405513.pdf,FINANCE,0.497
HR,39081840.pdf,HR,0.497
TEACHER,36206485.pdf,TEACHER,0.497
DESIGNER,37058472.pdf,DESIGNER,0.496
FITNESS,10816645.pdf,FITNESS,0.496
INFORMATION-TECHNOLOGY,18301617.pdf,INFORMATION-TECHNOLOGY,0.496
HR,93002334.pdf,HR,0.496
HR,85766635.pdf,PUBLIC-RELATIONS,0.496
HR,27523575.pdf,HR,0.495
HR,29149998.pdf,HR,0.495
DESIGNER,41506705.pdf,DESIGNER,0.495
HR,39650734.pdf,HR,0.495
ACCOUNTANT,28359817.pdf,ACCOUNTANT,0.494
CHEF,28230807.pdf,CHEF,0.494
CONSULTANT,27419236.pdf,DIGITAL-MEDIA,0.494
DESIGNER,26790545.pdf,DESIGNER,0.494
BUSINESS-DEVELOPMENT,13313917.pdf,CONSULTANT,0.494
CONSULTANT,27213082.pdf,BUSINESS-DEVELOPMENT,0.494
HR,29564653.pdf,HR,0.493
HR,26671167.pdf,HR,0.493
SALES,10464113.pdf,SALES,0.493
CONSULTANT,26291616.pdf,CONSULTANT,0.493
SALES,98509238.pdf,SALES,0.493
ACCOUNTANT,49997097.pdf,ACCOUNTANT,0.493
BUSINESS-DEVELOPMENT,10289113.pdf,BUSINESS-DEVELOPMENT,0.492
ACCOUNTANT,57088974.pdf,FINANCE,0.492
